date,transaction,description,goal,goal_contrabution
12/05/2020,1560,TRANSFER FROM CBA              SIQ PAY DF ,,
12/05/2020,-11,VISA DEBIT PURCHASE CARD 0035 COLES 4489 SUNNYBANK H ,,
13/05/2020,-5,VISA DEBIT PURCHASE CARD 0035 BCC KGS CAR PARK BRISBANE ,,
14/05/2020,-15,VISA DEBIT PURCHASE CARD 0035 APPLE R466 BRISBANE BRISBANE ,,
14/05/2020,-8.4,VISA DEBIT PURCHASE CARD 0035 MCDONALDS CALAMVALE SUNNYBANK HIL ,,
15/05/2020,3.69,VISA DEBIT DEPOSIT PAYPAL *GREATINFO EBAY    4029357733 ,,
17/05/2020,-289,VISA DEBIT PURCHASE CARD 0035 APPLE R466 BRISBANE BRISBANE ,,
17/05/2020,-8.55,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
17/05/2020,-11.45,VISA DEBIT PURCHASE CARD 0035 PAYPAL *PCLANPTYLTD EB 4029357733 ,,
18/05/2020,-8.65,VISA DEBIT PURCHASE CARD 0035 MCDONALDS INDOOROOPIL INDOOROOPILLY ,,
18/05/2020,-6,EFTPOS MSY TECHNOLOGY QLD \SLACKS CREEK      AU ,,
18/05/2020,-8.4,VISA DEBIT PURCHASE CARD 0035 WOOLWORTHS 2582 SUNNYBANK ,,
19/05/2020,-6.98,VISA DEBIT PURCHASE CARD 0035 BUNNINGS 405000 ACACIA RIDGE ,,
20/05/2020,-3.69,VISA DEBIT PURCHASE CARD 0035 PAYPAL *GREATINFO EBAY 4029357733 ,,
20/05/2020,-13.95,VISA DEBIT PURCHASE CARD 0035 CARLS JR SLACKS CREEK SLACKS CREEK ,,
21/05/2020,-7.98,VISA DEBIT PURCHASE CARD 0035 FRESCO SUNNYPARK PTY L SUNNYBANK ,,
22/05/2020,-250.13,VISA DEBIT PURCHASE CARD 0035 AMAZON MKTPLC AU SYDNEY SOUTH ,,
23/05/2020,-4.95,VISA DEBIT PURCHASE CARD 0035 PAYPAL *SIMPLECOM EBAY 4029357733 ,,
24/05/2020,-15.24,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
24/05/2020,-9.45,VISA DEBIT PURCHASE CARD 0035 PAYPAL *INVIGORATIN EB 4029357733 ,,
24/05/2020,-43.87,VISA DEBIT PURCHASE CARD 0035 NIGHTOWL QLD PTY LTD MACGREGOR ,,
25/05/2020,1410,TRANSFER FROM CBA              SIQ PAY DF ,,
26/05/2020,-13.6,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
26/05/2020,-24,VISA DEBIT PURCHASE CARD 0035 JB HI FI WESTFIELD G MOUNT GRAVATT ,,
28/05/2020,-5.5,VISA DEBIT PURCHASE CARD 0035 PAYPAL *MUCH EBAY MUCH 4029357733 ,,
30/05/2020,-7,VISA DEBIT PURCHASE CARD 0035 FUSHIN INTERNATIONAL UPPER MOUNT G ,,
30/05/2020,-55.43,VISA DEBIT PURCHASE CARD 0035 PAYPAL *EBAY 4029357733 ,,
1/06/2020,-8.27,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
1/06/2020,16.34,VISA DEBIT DEPOSIT PAYPAL *BJ INTERNAT EB    4029357733 ,,
3/06/2020,-6.68,VISA DEBIT PURCHASE CARD 0035 PINE PLAZA FRUIT WORLD SUNNYBANK HIL ,,
4/06/2020,1275,TRANSFER FROM CBA              SIQ PAY DF ,,
6/06/2020,-14.05,VISA DEBIT PURCHASE CARD 0035 MCDONALDS CALAMVALE SUNNYBANK HIL ,,
7/06/2020,-9.6,VISA DEBIT PURCHASE CARD 0035 BREAD TOP SUNNYBANK SUNNYBANK ,,
7/06/2020,-15.99,ANZ MOBILE BANKING PAYMENT 123456 TO OPTUSMOBILE,,
9/06/2020,-15,ANZ MOBILE BANKING PAYMENT 817925 TO XXXX,,
10/06/2020,-15.99,VISA DEBIT PURCHASE CARD 0035 MINISO SUNNY PTY LTD SUNNYBANK ,,
10/06/2020,-25,EFTPOS CBEACH HARBOURTOWN       BIGGERA WATERAU ,,
11/06/2020,-37,VISA DEBIT PURCHASE CARD 0035 AMOREPACIFIC AUSTRAL UPPER MOUNT G ,,
12/06/2020,-58,VISA DEBIT PURCHASE CARD 0035 JB MT GRAVATT MOUNT GRAVATT ,,
12/06/2020,-302.5,NON-ANZ ATM REDIATM BEENLEIGH RD   SU SUNNYBANK    0 INCLUDES ATM OPERATOR CHARGE $2.50,,
12/06/2020,-20.18,VISA DEBIT PURCHASE CARD 0035 PEPPERLUNCH SUNNYBANK SUNNYBANK ,,
13/06/2020,-11.49,VISA DEBIT PURCHASE CARD 0035 PAYPAL *SYDNEYPHONE EB 4029357733 ,,
13/06/2020,-42.5,VISA DEBIT PURCHASE CARD 0035 PAYPAL *DIGILIFE EBAY 4029357733 ,,
13/06/2020,-700,ANZ MOBILE BANKING PAYMENT 355482 TO LANDLORD,,
14/06/2020,-12,VISA DEBIT PURCHASE CARD 0035 AURUM LIFE PTY LTD UPPER MOUNT G ,,
14/06/2020,-26.01,VISA DEBIT PURCHASE CARD 0035 WOOLWORTHS 2582 SUNNYBANK ,,
16/06/2020,-13.45,VISA DEBIT PURCHASE CARD 0035 SUBWAY ASCOT HAMILTON ,,
17/06/2020,-2.7,VISA DEBIT PURCHASE CARD 0035 HANARO BIG MARKET UNDERWOOD ,,
17/06/2020,-210.2,VISA DEBIT PURCHASE CARD 0035 NIKE BIGGERA WATERS BIGGERA WATER ,,
18/06/2020,-20,VISA DEBIT PURCHASE CARD 0035 TRANSLINK BRISBANE ,,
18/06/2020,-50,VISA DEBIT PURCHASE CARD 0035 AUTHENTICS FACTORY O BIGGERA WATER ,,
18/06/2020,-37.15,VISA DEBIT PURCHASE CARD 0035 EZI*SNAP HOLLAND PK MULLUMBIMBY C ,,
18/06/2020,-5.5,VISA DEBIT PURCHASE CARD 0035 FUSHIN INTERNATIONAL UPPER MOUNT G ,,
18/06/2020,-12.6,VISA DEBIT PURCHASE CARD 0035 ART OF SUSHI ST LUCIA ,,
19/06/2020,-20,VISA DEBIT PURCHASE CARD 0035 HALLENSTEIN BROTHERS BIGGERA WATER ,,
19/06/2020,-17.97,VISA DEBIT PURCHASE CARD 0035 FRESCO SUNNYPARK PTY L SUNNYBANK ,,
19/06/2020,-4.8,VISA DEBIT PURCHASE CARD 0035 LAKESIDE ENTERPRISES UNIVERSITY OF ,,
20/06/2020,-15.3,VISA DEBIT PURCHASE CARD 0035 ART OF SUSHI ST LUCIA ,,
20/06/2020,-0.97,VISA DEBIT PURCHASE CARD 0035 ALIEXPRESS.COM MELBOURNE ,,
21/06/2020,-0.02,DEBIT INTEREST CHARGED  ,,
21/06/2020,-39,VISA DEBIT PURCHASE CARD 0035 BIG W 0272 UPPER MOUNT G ,,
22/06/2020,-12.66,VISA DEBIT PURCHASE CARD 0035 ALIEXPRESS.COM MELBOURNE ,,
23/06/2020,-47.39,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
24/06/2020,2403.75,TRANSFER FROM CBA              SIQ PAY DF ,,
25/06/2020,-46.49,EFTPOS UNITED PETROLEUM PTY     SUNNYBANK HILQL ,,
25/06/2020,-6.99,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
28/06/2020,-11.75,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
29/06/2020,-37.15,VISA DEBIT PURCHASE CARD 0035 EZI*SNAP HOLLAND PK MULLUMBIMBY C ,,
30/06/2020,-12.05,VISA DEBIT PURCHASE CARD 0035 ALIEXPRESS.COM MELBOURNE ,,
30/06/2020,-4.3,VISA DEBIT PURCHASE CARD 0035 MR MAGIC AUTOMATION BURLEIGH HEAD ,,
30/06/2020,-15.8,VISA DEBIT PURCHASE CARD 0035 ART OF SUSHI ST LUCIA ,,
30/06/2020,-25.5,VISA DEBIT PURCHASE CARD 0035 MOS BURGER SUNNYBANK ,,
1/07/2020,-0.8,VISA DEBIT PURCHASE CARD 0035 THE SCHOOL LOCKER OX OXLEY ,,
1/07/2020,-7.49,VISA DEBIT PURCHASE CARD 0035 PINE PLAZA FRUIT WORLD SUNNYBANK HIL ,,
2/07/2020,-60,ANZ ATM SUNNYBANK HILLS BRANCH #1SUNNYBANK    QL ,,
2/07/2020,-3,VISA DEBIT PURCHASE CARD 0035 VENDING ONLINE ALBION ,,
3/07/2020,-60,ANZ ATM SUNNYBANK HILLS BRANCH #1SUNNYBANK    QL ,,
4/07/2020,-23.25,VISA DEBIT PURCHASE CARD 0035 POST SUNNYBANK SOUTHSU SUNNYBANK SOU ,,
5/07/2020,-1.75,VISA DEBIT PURCHASE CARD 0035 THE SCHOOL LOCKER OX OXLEY ,,
5/07/2020,-1.35,VISA DEBIT PURCHASE CARD 0035 POST SUNNYBANK SOUTHSU SUNNYBANK SOU ,,
6/07/2020,-9.8,VISA DEBIT PURCHASE CARD 0035 SUSHI CHEF K SUNNYBANK HIL ,,
6/07/2020,-11.9,VISA DEBIT PURCHASE CARD 0035 ORIENTAL CORNER PTY LT ST LUCIA ,,
6/07/2020,-6,VISA DEBIT PURCHASE CARD 0035 MOS BURGER SUNNYBANK ,,
6/07/2020,-15.99,ANZ MOBILE BANKING PAYMENT 123456 TO OPTUSMOBILE,,
7/07/2020,-7.99,VISA DEBIT PURCHASE CARD 0035 FRESCO SUNNYPARK PTY L SUNNYBANK ,,
7/07/2020,-14.18,VISA DEBIT PURCHASE CARD 0035 YANGMAMA PTY LTD SUNNYBANK HIL ,,
7/07/2020,-7.09,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
7/07/2020,-8.41,VISA DEBIT PURCHASE CARD 0035 PINE PLAZA FRUIT WORLD SUNNYBANK HIL ,,
8/07/2020,-21.32,VISA DEBIT PURCHASE CARD 0035 PAYPAL *UMARTONLINE 4029357733 ,,
9/07/2020,-13.7,VISA DEBIT PURCHASE CARD 0035 GUZMAN Y GOMEZ TOOWONG ,,
10/07/2020,-12.3,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
10/07/2020,-263.9,VISA DEBIT PURCHASE CARD 0035 OLYMPUS AUSTRALIA PTY NOTTING HILL ,,
11/07/2020,-19.46,VISA DEBIT PURCHASE CARD 0035 ALIEXPRESS.COM MELBOURNE ,,
11/07/2020,-23.99,VISA DEBIT PURCHASE CARD 0035 PAYPAL *TIDAL HIFI 35314369001 ,,
14/07/2020,-700,ANZ MOBILE BANKING PAYMENT 355482 TO LANDLORD,,
15/07/2020,-3.2,VISA DEBIT PURCHASE CARD 0035 VENDING ONLINE ALBION ,,
15/07/2020,-2.4,VISA DEBIT PURCHASE CARD 0035 VENDING ONLINE ALBION ,,
15/07/2020,1975,TRANSFER FROM CBA              SIQ PAY DF ,,
16/07/2020,42.5,VISA DEBIT DEPOSIT PAYPAL *DIGILIFE EBAY     4029357733 ,,
16/07/2020,-11.5,VISA DEBIT PURCHASE CARD 0035 PAC PHAM PTY LTD BRISBANE CITY ,,
18/07/2020,21.32,VISA DEBIT DEPOSIT PAYPAL *UMARTONLINE       4029357733 ,,
20/07/2020,-37.15,VISA DEBIT PURCHASE CARD 0035 EZI*SNAP HOLLAND PK MULLUMBIMBY C ,,
20/07/2020,-6.99,VISA DEBIT PURCHASE CARD 0035 AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH ,,
20/07/2020,-50,EFTPOS PUMA WOODRIDGE     \WOODRIDGE         AU ,,
22/07/2020,-336,EFTPOS OFFICEWORKS 0431         UPP MT GRVT  AU ,,
23/07/2020,6.99,VISA DEBIT DEPOSIT AMZNPRIMEAU MEMBERSHIP    SYDNEY SOUTH ,,
23/07/2020,-47,EFTPOS MSY TECHNOLOGY QLD \SLACKS CREEK      AU ,,
23/07/2020,-7.05,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
23/07/2020,-58.24,VISA DEBIT PURCHASE CARD 0035 7-ELEVEN 4259 ACACIA RIDGE ,,
24/07/2020,-660,VISA DEBIT PURCHASE CARD 0035 UMART ONLINE MILTON ,,
25/07/2020,-62.5,NON-ANZ ATM REDIATM BEENLEIGH RD   SU SUNNYBANK    0 INCLUDES ATM OPERATOR CHARGE $2.50,,
26/07/2020,-14.54,VISA DEBIT PURCHASE CARD 0035 RED ROOSTER LOGAN CT LOGAN CENTRAL ,,
26/07/2020,-60.96,EFTPOS IKEA LOGAN               SLACKS CREEK QL ,,
27/07/2020,-7.99,VISA DEBIT PURCHASE CARD 0035 PAYPAL *EMC EBAY EMC 4029357733 ,,
28/07/2020,-4.95,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
29/07/2020,-137.99,VISA DEBIT PURCHASE CARD 0035 AMAZON MKTPLC AU SYDNEY SOUTH ,,
29/07/2020,-42.98,VISA DEBIT PURCHASE CARD 0035 AMAZON MKTPLC AU SYDNEY SOUTH ,,
29/07/2020,-850,ANZ ATM SUNNYBANK BRANCH         SUNNYBANK    QL ,,
30/07/2020,48.89,VISA DEBIT DEPOSIT PAYPAL *EBAY              4029357733 ,,
31/07/2020,-6.7,VISA DEBIT PURCHASE CARD 0035 HOT CAKE HOUSE SUNNYBANK ,,
31/07/2020,-20.82,VISA DEBIT PURCHASE CARD 0035 PAYPAL *SIMONMONTAN 4029357733 ,,
1/08/2020,-6.99,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
1/08/2020,-87.99,VISA DEBIT PURCHASE CARD 0035 PAYPAL *JAYCHOU1993 EB 4029357733 ,,
1/08/2020,-12.9,VISA DEBIT PURCHASE CARD 0035 ART OF SUSHI ST LUCIA ,,
3/08/2020,-102.5,NON-ANZ ATM REDIATM BEENLEIGH RD   SU SUNNYBANK    0 INCLUDES ATM OPERATOR CHARGE $2.50,,
3/08/2020,-27,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
3/08/2020,1750,TRANSFER FROM CBA              SIQ PAY DF ,,
4/08/2020,-37.15,VISA DEBIT PURCHASE CARD 0035 EZI*SNAP HOLLAND PK MULLUMBIMBY C ,,
6/08/2020,-31.8,EFTPOS PAPPARICH BRISBANE       BRISBANE     QL ,,
6/08/2020,-15.99,ANZ MOBILE BANKING PAYMENT 123456 TO OPTUSMOBILE,,
7/08/2020,-23.99,VISA DEBIT PURCHASE CARD 0035 PAYPAL *TIDAL HIFI 35314369001 ,,
7/08/2020,-1.5,EFTPOS IKEA LOGAN               SLACKS CREEK QL ,,
8/08/2020,-18.7,VISA DEBIT PURCHASE CARD 0035 MCDONALDS CALAMVALE SUNNYBANK HIL ,,
8/08/2020,-59,VISA DEBIT PURCHASE CARD 0035 AMAZON MKTPLC AU SYDNEY SOUTH ,,
8/08/2020,-20,VISA DEBIT PURCHASE CARD 0035 TRANSLINK BRISBANE ,,
9/08/2020,-19.9,EFTPOS IKEA LOGAN               SLACKS CREEK QL ,,
9/08/2020,-10,EFTPOS IKEA LOGAN               SLACKS CREEK QL ,,
10/08/2020,15.9,PAYMENT FROM AG papas ,,
12/08/2020,-168,EFTPOS OFFICEWORKS 0424         UNDERWOOD    AU ,,
12/08/2020,-8.99,VISA DEBIT PURCHASE CARD 0035 PAYPAL *DISNEYPLUS 4029357733 ,,
14/08/2020,-37.15,VISA DEBIT PURCHASE CARD 0035 EZI*SNAP HOLLAND PK MULLUMBIMBY C ,,
20/08/2020,-700,ANZ MOBILE BANKING PAYMENT 355482 TO LANDLORD,,
